span_id,study_id,span_type,lo,hi,unit,kind,label,open_end,basis,sd
cov270-S01,cov270,size,275,275,µm,reference,Initial nominal mean ±25 µm; not min–max,,,
cov284-S01,cov284,size,0.7,5,µm,reference,Exposure microspheres,,,
cov284-S02,cov284,size,1,3,µm,observed,Microspheres detected in bone,,,
cov284-S03,cov284,size,2,5,µm,operational,Tissue analysis acceptance window,,,
cov292-S01,cov292,size,0.2,0.3,µm,reference,PET200,,,
cov292-S02,cov292,size,0.8,1,µm,reference,PET900,,,
cov292-S03,cov292,size,2.3,2.7,µm,reference,PET2500,,,
cov292-M01,cov292,mass,60.64,60.64,µg/g,summary,PET200 peak mean,,unspecified,0.65
cov292-M02,cov292,mass,38.98,38.98,µg/g,summary,PET900 peak mean,,unspecified,12.58
cov302-S01,cov302,size,3,165,µm,observed,All reported particles,,,
cov308-S01,cov308,size,300.0,5000.0,µm,observed,Reported range,,,
cov355-S01,cov355,size,1000,1000,µm,operational,>1000 inclusion threshold,right,,
cov355-S02,cov355,size,5450,5450,µm,observed,Large fragment,,,
cov355-S03,cov355,size,6240,6240,µm,observed,Large fragment,,,
cov365-S01,cov365,size,12.7,145.1,µm,observed,Raman-positive particles in saliva,,,
cov404-S01,cov404,size,4.0,27.0,µm,observed,Reported range,,,
cov412-S01,cov412,size,360,890,µm,summary,Range of lagoon mean sizes; not particle min–max,,,
cov429-M01,cov429,mass,200,500,µg/g,observed,Sea trout; converted mg/g → µg/g,,dry,
cov429-M02,cov429,mass,7400,22600,µg/g,observed,Oyster; converted mg/g → µg/g,,unspecified,
cov429-M03,cov429,mass,600,19100,µg/g,observed,Tuna; converted mg/g → µg/g,,unspecified,
cov440-S01,cov440,size,0.054,0.054,µm,reference,Pd-NPs SEM,,,
cov440-S02,cov440,size,0.24,0.24,µm,reference,bottom-up PS,,,
cov440-S03,cov440,size,0.514,1.237,µm,summary,Top-down material: range of mean hydrodynamic diameters,,,
cov440-S04,cov440,size,2,2,µm,reference,PS standard,,,
cov440-S05,cov440,size,5,5,µm,reference,PS standard,,,
cov440-M01,cov440,mass,13.13,13.13,µg/g,estimated,Root mean; estimated from metal label,,unspecified,2.06
cov440-M02,cov440,mass,9.49,9.49,µg/g,estimated,Shoot mean; estimated from metal label,,unspecified,0.56
cov454-S01,cov454,size,34.4,1814.3,µm,observed,Reported range,,,
cov457-S01,cov457,size,120,15000,µm,observed,All tissues; converted from mm,,,
cov461-S01,cov461,size,80,355,µm,reference,Experimental sieved material,,,
cov471-S01,cov471,size,16.67,16.67,µm,observed,Suspected subepithelial particle,,,
cov471-S02,cov471,size,19.69,19.69,µm,observed,Suspected subepithelial particle,,,
cov471-S03,cov471,size,158.78,158.78,µm,observed,Rayon fiber length; not synthetic plastic,,,
cov534-S01,cov534,size,30.0,5802.0,µm,observed,Reported range,,,
cov536-S01,cov536,size,84.0,5000.0,µm,observed,Reported range,,,
cov547-S01,cov547,size,100,100,µm,operational,<0.1 mm size bin,left,,
cov547-S02,cov547,size,100,500,µm,operational,Size bin,,,
cov547-S03,cov547,size,500,1000,µm,operational,Size bin,,,
cov547-S04,cov547,size,1000,1000,µm,operational,>1 mm size bin,right,,
cov602-S01,cov602,size,2.5,26.0,µm,observed,Reported range,,,
cov608-S01,cov608,size,5000,5000,µm,operational,MP <5mm,left,,
cov608-S02,cov608,size,5000,5000,µm,operational,>5 mm category,right,,
cov608-S03,cov608,size,25000,25000,µm,operational,>25 mm category,right,,
cov612-S01,cov612,size,42.0,1917.0,µm,observed,Reported range,,,
cov615-S01,cov615,size,50.0,3000.0,µm,observed,Reported range,,,
cov629-S01,cov629,size,40.0,40990.0,µm,observed,Reported range,,,
cov643-S01,cov643,size,1000,1000,µm,operational,Target >1 mm; plastic identity unconfirmed,right,,
cov657-S01,cov657,size,50,5000,µm,operational,Exact observed extrema unspecified,,,
cov666-S01,cov666,size,74.0,4000.0,µm,observed,Reported range,,,
cov693-S01,cov693,size,2000,2000,µm,reference,PE/PP standards,,,
cov693-S02,cov693,size,3500,3500,µm,reference,PS standard,,,
cov693-S03,cov693,size,3000,5000,µm,reference,PET standard,,,
cov696-S01,cov696,size,30.0,5000.0,µm,observed,Reported range,,,
cov704-S01,cov704,size,1,1,µm,reference,Nominal microspheres,,,
cov716-S01,cov716,size,5.1,5.1,µm,observed,Only confirmed LDPE; not all 87 particles,,,
cov747-S01,cov747,size,0.2,0.2,µm,operational,Most described as <200 nm; not established extrema,left,,
cov747-M01,cov747,mass,21700,21700,µg/g,summary,PE mean in positive samples; converted µg/mg → µg/g,,unspecified,24500
cov747-M02,cov747,mass,5200,5200,µg/g,summary,PVC mean in positive samples,,unspecified,2400
cov749-S01,cov749,size,500,500,µm,operational,<500 category,left,,
cov749-S02,cov749,size,500,5000,µm,operational,Optical size bins,,,
cov749-S03,cov749,size,1,1,µm,operational,Claimed Raman <1; exact value unspecified,left,,
cov789-M01,cov789,mass,10.1,102.7,µg/g,uncertain,Total (bracketed range); statistic type to be verified,,unspecified,
cov789-M01,cov789,mass_recovery_reported,90.65,90.65,%,observed,PS ion-group1,,,
cov789-M02,cov789,mass_recovery_reported,118.8,118.8,%,observed,PS ion-group2,,,
cov789-M03,cov789,mass_recovery_reported,102.6,102.6,%,observed,PE,,,
cov789-M04,cov789,mass_recovery_reported,86.62,86.62,%,observed,PP,,,
cov789-M05,cov789,mass_recovery_reported,94.84,94.84,%,observed,PMMA,,,
cov789-M06,cov789,mass_recovery_reported,114.98,114.98,%,observed,PVC,,,
cov789-M07,cov789,mass_recovery_reported,84.23,84.23,%,observed,PC,,,
cov789-M08,cov789,mass_recovery_reported,102.36,102.36,%,observed,PET,,,
cov789-M09,cov789,mass_recovery_reported,87.12,87.12,%,observed,PA6,,,
cov789-M10,cov789,mass_recovery_reported,95.9,95.9,%,observed,PA66,,,
cov791-S01,cov791,size,380,5076,µm,observed,Width extrema,,,
cov791-S02,cov791,size,3128,4956,µm,observed,Length extrema,,,
cov794-S01,cov794,size,59.22,4834.48,µm,observed,Single measured dimension,,,
cov794-S02,cov794,size,40.67,40.67,µm,observed,Minimum width of two-dimensional flakes,,,
cov823-S01,cov823,size,500,4000,µm,operational,FTIR subset selection window,,,
cov827-S01,cov827,size,61,5000,µm,observed,Microplastics,,,
cov827-S02,cov827,size,5080,11000,µm,observed,Mesoplastics,,,
cov864-S01,cov864,size,20,100,µm,operational,Smallest size bin,,,
cov864-S02,cov864,size,101,500,µm,operational,Size bin,,,
cov864-S03,cov864,size,501,1000,µm,operational,Size bin,,,
cov864-S04,cov864,size,1000,1000,µm,operational,>1000 size bin,right,,
cov896-S01,cov896,size,11.23,22.46,µm,observed,Reported range,,,
cov948-S01,cov948,size,0.04904,0.04904,µm,reference,DLS of PS exposure suspension,,,
cov948-S02,cov948,size,0.05002,0.05002,µm,reference,DLS of PS + Pb exposure suspension,,,
cov948-M01,cov948,mass,401,401,µg/g,summary,"PS, high dose",,dry,18.09
cov948-M02,cov948,mass,350.13,350.13,µg/g,summary,"PS + Pb, high dose",,dry,40.37
cov948-M03,cov948,mass,275.19,275.19,µg/g,summary,"Pb-preloaded PS, high dose",,dry,22.77
cov948-M01,cov948,mass_recovery_reported,36.57,108.34,%,observed,All spike loads; lower recovery at 0.017 µg spike,,,
cov948-M02,cov948,mass_recovery_reported,89.5,89.5,%,summary,Mean excluding the lowest spike load,,,
cov987-S01,cov987,size,105,145,µm,reference,PE model particles,,,
cov987-S02,cov987,size,100,100,µm,reference,Approximate PS and ground PP/PET sizes,,,
cov989-S01,cov989,size,50,300,µm,observed,Dominant sizes; not the full range,,,
cov994-S01,cov994,size,2.09,2.09,µm,summary,Week 1 minimum PS size,,,
cov994-S02,cov994,size,3.11,3.11,µm,summary,Week 1 minimum PE size,,,
cov994-S03,cov994,size,2.42,2.42,µm,summary,Week 6 minimum PS size,,,
cov994-S04,cov994,size,5.92,5.92,µm,summary,Week 6 minimum PE size,,,
cov1000-S01,cov1000,size,25.0,45.0,µm,reference,Reported range,,,
cov1020-S01,cov1020,size,300,350,µm,reference,LDPE particles,,,
cov1020-S02,cov1020,size,3000,3000,µm,reference,Approximate punched-material size,,,
cov1020-M01,cov1020,mass_recovery_reported,100,100,%,observed,Single-step KOH/H2O2; most polymers; full assignment unavailable,,,
cov1020-M02,cov1020,mass_recovery_reported,96.9,96.9,%,observed,Single-step KOH: PET mass retention,,,
cov1020-M03,cov1020,mass_recovery_reported,99.3,99.3,%,observed,Single-step H2O2: PET mass retention,,,
cov1020-M04,cov1020,mass_recovery_reported,100,100,%,observed,Two-step treatment: LDPE mass retention,,,
cov1020-M05,cov1020,mass_recovery_reported,100,100,%,observed,Two-step treatment: HDPE mass retention,,,
cov1020-M06,cov1020,mass_recovery_reported,100,100,%,observed,Two-step treatment: PP mass retention,,,
cov1020-M07,cov1020,mass_recovery_reported,100,100,%,observed,Two-step treatment: PS mass retention,,,
cov1020-M08,cov1020,mass_recovery_reported,116.7,116.7,%,observed,Two-step treatment: EPS mass retention,,,
cov1020-M09,cov1020,mass_recovery_reported,99,99,%,observed,Two-step treatment: PVC mass retention,,,
cov1020-M10,cov1020,mass_recovery_reported,100.7,100.7,%,observed,Two-step treatment: PET mass retention,,,
cov1020-M11,cov1020,mass_recovery_reported,98.6,98.6,%,observed,Two-step treatment: PC mass retention,,,
cov1022-S01,cov1022,size,28.0,70.5,µm,observed,Reported range,,,
cov1055-S01,cov1055,size,36,974,µm,observed,C. punctatus muscle,,,
cov1055-S02,cov1055,size,86,1947,µm,observed,L. rohita muscle,,,
cov1055-S03,cov1055,size,108,1858,µm,observed,L. bata muscle,,,
cov1082-S01,cov1082,size,20.0,281.0,µm,observed,Reported range,,,
cov1108-S01,cov1108,size,500,500,µm,operational,<500 size bin,left,,
cov1108-S02,cov1108,size,500,1000,µm,operational,Size bin,,,
cov1108-S03,cov1108,size,1000,5000,µm,operational,Size bin,,,
cov1118-M01,cov1118,mass,124.1,362.8,µg/g,IQR,Total IQR (not min–max),,dry,
cov1121-S01,cov1121,size,2.9,34.5,µm,observed,Reported range,,,
cov1129-S01,cov1129,size,45.0,5000.0,µm,observed,Reported range,,,
cov1133-S01,cov1133,size,500,500,µm,operational,<500 size bin,left,,
cov1133-S02,cov1133,size,500,1000,µm,operational,Size bin,,,
cov1133-S03,cov1133,size,1000,3000,µm,operational,Size bin,,,
cov1133-S04,cov1133,size,3000,5000,µm,operational,Size bin,,,
cov1140-S01,cov1140,size,100,5000,µm,operational,Crab size bins; matrix-specific,,,
cov1142-S01,cov1142,size,110,5000,µm,observed,Overall,,,
cov1151-S01,cov1151,size,5.5,26.4,µm,observed,Particle length,,,
cov1151-S02,cov1151,size,3,25.4,µm,observed,Particle width,,,
cov1151-S03,cov1151,size,19,24.5,µm,observed,Fiber length,,,
cov1151-S04,cov1151,size,2.6,6,µm,observed,Fiber width / diameter,,,
cov1185-S01,cov1185,size,790.0,3700.0,µm,observed,Reported range,,,
cov1186-S01,cov1186,size,114,3969,µm,observed,Main range,,,
cov1186-S02,cov1186,size,13970,13970,µm,observed,One of two additional fibers,,,
cov1186-S03,cov1186,size,14810,14810,µm,observed,One of two additional fibers,,,
cov1237-S01,cov1237,size,100,100,µm,operational,<100,left,,
cov1237-S02,cov1237,size,100,5000,µm,operational,100 to <5000 size bin,,,
cov1263-S01,cov1263,size,148,11150,µm,observed,Fiber length,,,
cov1263-S02,cov1263,size,2,59.23,µm,observed,Fiber width,,,
cov1263-S03,cov1263,size,23,1399,µm,observed,Fragment diameter,,,
cov1273-S01,cov1273,size,1.6,40,µm,observed,Algal samples,,,
cov1298-S01,cov1298,size,100,100,µm,operational,>100 acceptance window,right,,
cov1314-S01,cov1314,size,34,50,µm,reference,HDPE,,,
cov1314-S02,cov1314,size,1000,1000,µm,reference,ABS/EPS/PP,,,
cov1315-S01,cov1315,size,500,500,µm,operational,<0.5 mm size bin,left,,
cov1315-S02,cov1315,size,500,5000,µm,operational,Size bin,,,
cov1315-S03,cov1315,size,5000,5000,µm,operational,>5mm,right,,
cov1330-S01,cov1330,size,69,2150,µm,observed,Fragments,,,
cov1330-S02,cov1330,size,190,5691,µm,observed,Fibers,,,
cov1346-S01,cov1346,size,800,4700,µm,observed,Microplastics,,,
cov1346-S02,cov1346,size,5200,13700,µm,observed,Mesoplastics,,,
cov1359-S01,cov1359,size,1.2,20,µm,observed,Claim only; sizing procedure and individual data unavailable,,,
cov1376-S01,cov1376,size,17.8,4640.0,µm,observed,Reported range,,,
cov1384-S01,cov1384,size,6.0,12930.0,µm,observed,Reported range,,,
cov1387-S01,cov1387,size,81.167,4480,µm,observed,Subadults,,,
cov1387-S02,cov1387,size,167.18,5693.96,µm,observed,Juveniles,,,
cov1395-S01,cov1395,size,100,5000,µm,operational,Overall size-bin boundaries,,,
cov1410-S01,cov1410,size,250,250,µm,operational,<250,left,,
cov1410-S02,cov1410,size,250,5000,µm,operational,Size bin,,,
cov1429-S01,cov1429,size,100,100,µm,operational,<100,left,,
cov1429-S02,cov1429,size,101,1000,µm,operational,Size bin,,,
cov1429-S03,cov1429,size,1000,1000,µm,operational,>1000,right,,
cov1484-S01,cov1484,size,1160,1160,µm,reference,Mean fiber length,,,
cov1484-S02,cov1484,size,25.8,25.8,µm,reference,Mean fiber diameter,,,
cov1484-S03,cov1484,size,50,200,µm,reference,Particle standard,,,
cov1484-S04,cov1484,size,0.1,0.1,µm,operational,Operational NP definition <0.1,left,,
cov1484-M01,cov1484,mass,221000,221000,µg/sample,summary,Mean cumulative 7-day fecal excretion of fibres; not an analytical recovery,,unspecified,95500
cov1484-M02,cov1484,mass,188000,188000,µg/sample,summary,Mean cumulative 7-day fecal excretion of granules,,unspecified,92600
cov1484-M03,cov1484,mass,2080,2080,µg/sample,summary,Mean cumulative 7-day fecal excretion of NPs,,unspecified,623
cov1484-M04,cov1484,mass,0.896,0.896,µg/mL,summary,Day-7 serum; converted µg/L → µg/mL,,unspecified,
cov1514-S01,cov1514,size,0.025,0.025,µm,reference,PMMA,,,
cov1514-S02,cov1514,size,0.25,0.25,µm,reference,PLA,,,
cov1514-S03,cov1514,size,0.366,0.366,µm,reference,MF,,,
cov1514-S04,cov1514,size,2,2,µm,reference,PLA,,,
cov1515-S01,cov1515,size,100,5000,µm,operational,Inclusion window,,,
cov1525-S01,cov1525,size,21.0,4235.0,µm,observed,Reported range,,,
cov1588-S01,cov1588,size,20.0,5220.0,µm,observed,Reported range,,,
cov1610-S01,cov1610,size,300,1300,µm,observed,Confirmed non-fiber particles,,,
cov1654-S01,cov1654,size,20,210,µm,reference,Starting particles,,,
cov1654-S02,cov1654,size,3000,4000,µm,reference,Starting material,,,
cov1654-S03,cov1654,size,30,250,µm,observed,Released fragments,,,
cov1666-S01,cov1666,size,18.0,72.0,µm,observed,Reported range,,,
cov1700-S01,cov1700,size,0.1,0.1,µm,reference,Nominal PS size,,,
cov1700-S02,cov1700,size,0.75,0.75,µm,reference,Nominal PS size,,,
cov1700-S03,cov1700,size,0.722,0.76,µm,reference,PS measured by SEM; NanoPET mean / upper bound only,,,
cov1702-S01,cov1702,size,26,5000,µm,operational,Acceptance / size-bin range,,,
cov1729-S01,cov1729,size,0.45,1.2,µm,operational,Size fraction,,,
cov1729-S02,cov1729,size,1.2,3,µm,operational,Size fraction,,,
cov1729-S03,cov1729,size,3,3,µm,operational,≥3 fraction,right,,
cov1760-S01,cov1760,size,0.1,0.3,µm,reference,PTFE,,,
cov1760-S02,cov1760,size,10,10,µm,reference,PTFE,,,
cov1760-S03,cov1760,size,25,25,µm,reference,PS,,,
cov1760-S04,cov1760,size,89,89,µm,reference,PET,,,
cov1834-S01,cov1834,size,0.96,0.96,µm,reference,Manufacturer mean diameter,,,
cov1849-S01,cov1849,size,0.7,514,µm,operational,Defined by pore / needle size; not directly measured,,,
cov1849-M01,cov1849,mass,1.6,1.6,µg/mL,summary,Mean sum of quantifiable polymers,,unspecified,2.3
cov1877-M01,cov1877,mass,45,317,µg/g,observed,PE concentration,,dry,
cov1978-S01,cov1978,size,20,5000,µm,operational,Size bins; upper bound ≥5 mm,right,,
cov2016-S01,cov2016,size,0.7,0.7,µm,operational,≥0.7 filtration boundary; not directly measured,right,,
cov2016-M01,cov2016,mass,1.48,1.48,µg/g,summary,Reported maximum; lower end < LOD not set to 0,,wet,
cov1854-S01,cov1854,size,0.16,0.16,µm,reference,Mean 160 ±7 nm; not min–max,,,
cov2029-S01,cov2029,size,0.05,0.5,µm,reference,Model particles,,,
cov2046-S01,cov2046,size,1.3,93.9,µm,observed,Reported range,,,
cov2081-S01,cov2081,size,1.57,1.57,µm,reference,Smallest tested material; other endpoint unknown,,,
cov2097-S01,cov2097,size,1,1,µm,reference,Nominal PS size,,,
cov2097-S02,cov2097,size,5,5,µm,reference,Nominal PS size,,,
cov2139-S01,cov2139,size,4,250,µm,reference,Material stability sizes; not full-process recovery window,,,
cov2158-S01,cov2158,size,0.32,33.32,µm,observed,Reported range,,,
cov2162-S01,cov2162,size,2.6,1291.0,µm,observed,Reported range,,,
cov2166-S01,cov2166,size,50,50,µm,operational,<50 size bin,left,,
cov2166-S02,cov2166,size,50,1000,µm,operational,Size bin,,,
cov2170-S01,cov2170,size,0.3501,0.3501,µm,summary,PVC mean hydrodynamic size after extraction,,,
cov2170-S02,cov2170,size,0.5134,0.5134,µm,summary,PMMA mean hydrodynamic size after extraction,,,
cov2170-M01,cov2170,mass,104.0,104.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M02,cov2170,mass,148.0,148.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M03,cov2170,mass,36.0,36.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M04,cov2170,mass,105.0,105.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M05,cov2170,mass,12.0,12.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M06,cov2170,mass,2.0,2.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M07,cov2170,mass,21.0,21.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M08,cov2170,mass,13.0,13.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M09,cov2170,mass,12.0,12.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M10,cov2170,mass,4.0,4.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M11,cov2170,mass,53.0,53.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M12,cov2170,mass,110.0,110.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M13,cov2170,mass,20.0,20.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M14,cov2170,mass,98.0,98.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M15,cov2170,mass,6.0,6.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M16,cov2170,mass,14.0,14.0,µg/g,estimated,Organ × PVC/PMMA mean; see original record for group mapping,,predicted dry,
cov2170-M01,cov2170,mass_recovery_reported,81.8,81.8,%,estimated,PVC in clam; luminescence-estimated mass recovery,,,
cov2170-M02,cov2170,mass_recovery_reported,76.6,76.6,%,estimated,PVC in tiger barb; luminescence-estimated mass recovery,,,
cov2170-M03,cov2170,mass_recovery_reported,83.6,83.6,%,estimated,PMMA in clam; luminescence-estimated mass recovery,,,
cov2170-M04,cov2170,mass_recovery_reported,70.1,70.1,%,estimated,PMMA in tiger barb; luminescence-estimated mass recovery,,,
cov2173-S01,cov2173,size,100,100,µm,operational,<100,left,,
cov2173-S02,cov2173,size,100,1000,µm,operational,Size bin,,,
cov2173-S03,cov2173,size,1000,1000,µm,operational,>1000,right,,
cov2176-S01,cov2176,size,500,500,µm,operational,<500,left,,
cov2176-S02,cov2176,size,500,5000,µm,operational,Size bin,,,
cov2200-M01,cov2200,mass,4.35,4.35,µg/mL,summary,Total geometric mean,,unspecified,
cov2200-M02,cov2200,mass,3.86,3.86,µg/mL,summary,Total median,,unspecified,
cov2200-M01,cov2200,mass_recovery_reported,102.03,102.03,%,observed,PA6,,,
cov2200-M02,cov2200,mass_recovery_reported,107.33,107.33,%,observed,PA66,,,
cov2200-M03,cov2200,mass_recovery_reported,105.2,105.2,%,observed,PE,,,
cov2200-M04,cov2200,mass_recovery_reported,83.99,83.99,%,observed,PVC,,,
cov2200-M05,cov2200,mass_recovery_reported,93.8,93.8,%,observed,PS,,,
cov2200-M06,cov2200,mass_recovery_reported,106.47,106.47,%,observed,PP,,,
cov2200-M07,cov2200,mass_recovery_reported,91.75,91.75,%,observed,PMMA,,,
cov2200-M08,cov2200,mass_recovery_reported,81.99,81.99,%,observed,PET,,,
cov2200-M09,cov2200,mass_recovery_reported,98.87,98.87,%,observed,PC,,,
cov2208-S01,cov2208,size,5000,5000,µm,reference,Test material <5 mm; lower bound unknown,left,,
cov2233-S01,cov2233,size,60.0,5210.0,µm,observed,Reported range,,,
cov2243-S01,cov2243,size,63.59,638.71,µm,observed,Reported range,,,
cov2247-S01,cov2247,size,8,200,µm,observed,Fibers in eggs,,,
cov2247-S02,cov2247,size,20,1000,µm,operational,Organ size bins,,,
cov2247-S03,cov2247,size,1000,1000,µm,operational,Organ >1000 category,right,,
cov2265-S01,cov2265,size,48.0,4957.0,µm,observed,Reported range,,,
cov2290-S01,cov2290,size,2,12,µm,observed,Polymer-confirmed particles,,,
cov2313-S01,cov2313,size,40,30000,µm,observed,Includes material >5 mm,,,
cov2315-S01,cov2315,size,0.7,514,µm,operational,Defined by filtration / needle size; not measured,,,
cov2315-M01,cov2315,mass,0.2014,0.8797,µg/mL,observed,Total range after imputation; converted ng/mL → µg/mL,,unspecified,
cov2315-M01,cov2315,mass_recovery_reported,82,82,%,observed,PVC recovery; 52–102% marker QC excluded from polymer recovery,,,
cov2333-S01,cov2333,size,200,200,µm,operational,<200,left,,
cov2333-S02,cov2333,size,200,1000,µm,operational,Size bin,,,
cov2333-S03,cov2333,size,1000,1000,µm,operational,>1000,right,,
cov2337-S01,cov2337,size,90,106,µm,reference,Input particles; area not converted to diameter,,,
cov2338-S01,cov2338,size,50,50,µm,reference,Smallest recovery standard; no environmental particles detected,,,
cov2339-S01,cov2339,size,100,1000,µm,operational,Inconsistent range; includes >1 mm category,,,
cov2341-S01,cov2341,size,68.05,2152.24,µm,observed,Particles sized by µFTIR,,,
cov2341-S02,cov2341,size,2870,2870,µm,observed,SEM fiber length,,,
cov2344-S01,cov2344,size,4.0,15.0,µm,observed,Reported range,,,
cov2363-S01,cov2363,size,500,500,µm,operational,<500,left,,
cov2363-S02,cov2363,size,500,5000,µm,operational,Size bin,,,
cov2368-S01,cov2368,size,20.0,186.0,µm,observed,Reported range,,,
cov2368-M01,cov2368,mass,7,7,µg/g,estimated,Mass estimated from size (Q ≥ 0.75),,unspecified,
cov2368-M02,cov2368,mass,2,2,µg/g,estimated,Mass estimated from size (Q ≥ 0.85),,unspecified,
cov2368-M03,cov2368,mass,1,1,µg/g,estimated,Mass estimated from size (Q ≥ 0.90),,unspecified,
cov2375-S01,cov2375,size,63,63,µm,observed,Minimum <63; exact lower bound unknown,left,,
cov2375-S02,cov2375,size,7346.4,7346.4,µm,observed,Maximum,,,
cov2396-S01,cov2396,size,5,100,µm,operational,Size bin,,,
cov2396-S02,cov2396,size,100,100,µm,operational,>100,right,,
